lon,lat,elevation,when,som,moisture,temp
141.9858877,-36.82159955,502.62,8/04/2022,3.38,33.9,59.23
141.9858925,-36.82158425,502.62,8/04/2022,3.34,33.35,59.25
141.9858926,-36.82161664,502.62,8/04/2022,3.47,32.9,59.03
141.9858961,-36.82163319,502.62,8/04/2022,3.515,32.75,58.93
141.9858982,-36.8216493,502.62,8/04/2022,3.555,32.5,58.45
141.9858986,-36.8216653,502.62,8/04/2022,3.615,33.65,58.23
141.9858996,-36.82168127,502.62,8/04/2022,3.75,33.27,58.18
141.9859017,-36.82156967,502.62,8/04/2022,3.405,32.67,59.48
141.9859103,-36.82155494,502.62,8/04/2022,3.48,33.17,59.33
141.985911,-36.82169744,502.62,8/04/2022,3.73,33.17,58.4
141.9859185,-36.82153998,502.62,8/04/2022,3.54,29.98,59.08
141.9859186,-36.82171297,502.3,8/04/2022,3.555,33.75,58.5
141.9859237,-36.82152449,502.95,8/04/2022,3.52,33.67,59.3
141.9859287,-36.82150906,502.95,8/04/2022,3.465,33.13,59.8
141.9859302,-36.82172789,502.3,8/04/2022,3.535,33.3,58.38
141.9859335,-36.8214935,502.95,8/04/2022,3.44,32.27,59.68
141.9859349,-36.82174328,502.3,8/04/2022,3.455,32.92,58.23
141.9859355,-36.8214777,502.95,8/04/2022,3.375,33.13,59.63
141.9859376,-36.8214619,502.95,8/04/2022,3.31,33.15,59.7
141.9859397,-36.821446,502.95,8/04/2022,3.245,33.35,59.85
141.9859406,-36.82175863,502.3,8/04/2022,3.455,32.73,58.18
141.9859418,-36.8214302,502.95,8/04/2022,3.175,33.02,59.65
141.9859439,-36.82139836,502.95,8/04/2022,3.165,32.08,59.75
141.9859442,-36.8214144,502.95,8/04/2022,3.155,33.4,59.78
141.9859462,-36.82138266,502.95,8/04/2022,3.095,31.15,59.78
141.9859464,-36.82177384,502.3,8/04/2022,3.5,34.25,58.2
141.9859486,-36.82136656,502.95,8/04/2022,3.035,32.4,60
141.9859512,-36.82135036,502.95,8/04/2022,3.16,32.42,60.03
141.9859538,-36.82133436,502.95,8/04/2022,3.2,32.9,60.15
141.9859565,-36.82131746,503.28,8/04/2022,3.19,32.05,60.43
141.985959,-36.82130076,503.28,8/04/2022,3.17,32.75,60.33
141.9859617,-36.82128396,503.28,8/04/2022,3.235,32.67,60.3
141.9859625,-36.82178718,502.3,8/04/2022,3.51,33.42,58.23
141.9859643,-36.82126716,503.28,8/04/2022,3.26,30.93,60.28
141.985967,-36.82125036,503.28,8/04/2022,3.32,30.9,60.15
141.9859697,-36.82123366,503.28,8/04/2022,3.365,31.4,60.2
141.9859723,-36.82121686,503.28,8/04/2022,3.375,32,60.25
141.9859724,-36.82158303,502.95,8/04/2022,3.405,33.17,62.6
141.9859748,-36.82120006,503.28,8/04/2022,3.365,31.25,60.13
141.9859773,-36.82118326,503.28,8/04/2022,3.43,31.8,60.03
141.9859797,-36.82116646,503.28,8/04/2022,3.29,30.65,60
141.9859821,-36.82179837,502.3,8/04/2022,3.49,32.27,57.88
141.9859823,-36.82114976,503.61,8/04/2022,3.225,31.45,59.8
141.9859847,-36.82113296,503.61,8/04/2022,3.115,32.02,59.78
141.9859864,-36.82131062,503.28,8/04/2022,3.4,32.75,64.5
141.9859872,-36.82111626,503.61,8/04/2022,3.145,31.45,60.05
141.9859882,-36.82159755,502.62,8/04/2022,3.435,33.3,62.6
141.9859899,-36.82109946,503.61,8/04/2022,3.205,31.2,60.03
141.9859925,-36.82108256,503.61,8/04/2022,3.23,31.93,59.85
141.9859951,-36.82106586,503.61,8/04/2022,3.235,32.27,59.68
141.9859977,-36.82104906,503.61,8/04/2022,3.22,32.67,59.75
141.9860002,-36.82103226,503.61,8/04/2022,3.275,33.3,59.88
141.9860008,-36.8218089,502.3,8/04/2022,3.545,32.02,57.6
141.9860029,-36.82101556,503.61,8/04/2022,3.34,33.77,60.03
141.9860055,-36.82099876,503.94,8/04/2022,3.275,34.02,60.2
141.9860071,-36.82129939,503.28,8/04/2022,3.4,32.75,64.55
141.986008,-36.82160994,502.62,8/04/2022,3.455,33.02,62.55
141.9860083,-36.82098196,503.94,8/04/2022,3.26,32.58,60.4
141.9860109,-36.82096526,503.94,8/04/2022,3.315,31.8,60.58
141.9860135,-36.82094856,503.94,8/04/2022,3.325,33,60.5
141.9860161,-36.82093176,503.94,8/04/2022,3.205,33.3,60.63
141.9860186,-36.82091496,503.94,8/04/2022,3.22,30.7,60.6
141.9860211,-36.82089816,504.27,8/04/2022,3.18,31.48,60.68
141.9860227,-36.82050433,505.25,8/04/2022,3.285,30.08,60.23
141.9860231,-36.82052821,505.25,8/04/2022,3.175,31.63,60.3
141.9860231,-36.82181678,502.3,8/04/2022,3.585,32.48,57.75
141.9860235,-36.82088136,504.27,8/04/2022,3.16,32.42,60.6
141.9860261,-36.82086466,504.27,8/04/2022,3.125,32.75,60.6
141.9860287,-36.82084776,504.27,8/04/2022,3.13,32.83,60.6
141.9860294,-36.82128939,503.28,8/04/2022,3.4,32.75,64.63
141.9860313,-36.82083096,504.27,8/04/2022,3.08,34.08,60.68
141.9860323,-36.82055332,504.92,8/04/2022,3.19,33.02,60.35
141.9860333,-36.82048808,505.25,8/04/2022,3.42,31.2,59.83
141.9860337,-36.82161882,502.62,8/04/2022,3.395,33.42,62.78
141.986034,-36.82081426,504.27,8/04/2022,3.02,31.48,60.58
141.9860367,-36.82079746,504.27,8/04/2022,3.005,31.82,60.68
141.9860393,-36.82078076,504.27,8/04/2022,3.16,32.65,60.5
141.9860419,-36.82076396,504.59,8/04/2022,3.22,32.85,60.6
141.9860434,-36.82175125,502.62,8/04/2022,2.98,38.23,63.88
141.9860436,-36.82182436,502.3,8/04/2022,3.625,31.77,57.58
141.9860444,-36.82074726,504.59,8/04/2022,3.245,33.1,60.63
141.9860461,-36.82047363,505.25,8/04/2022,3.46,31.43,59.68
141.986047,-36.82073046,504.59,8/04/2022,3.29,32.08,60.65
141.9860495,-36.82071366,504.59,8/04/2022,3.27,32.35,60.63
141.9860517,-36.82128499,503.28,8/04/2022,3.4,32.75,64.55
141.9860521,-36.82069686,504.59,8/04/2022,3.285,32.45,60.63
141.9860545,-36.82068016,504.59,8/04/2022,3.31,32.08,60.6
141.9860549,-36.82057815,504.92,8/04/2022,3.28,34.05,60.43
141.9860571,-36.82066336,504.59,8/04/2022,3.25,33.13,60.45
141.9860586,-36.82176406,502.62,8/04/2022,2.995,35.92,63.78
141.9860597,-36.82064656,504.59,8/04/2022,3.18,34.52,60.38
141.9860605,-36.82162475,502.62,8/04/2022,3.4,32.55,62.98
141.9860612,-36.82046129,505.25,8/04/2022,3.52,32.27,59.68
141.9860624,-36.82062986,504.92,8/04/2022,3.19,34,60.43
141.9860633,-36.82183174,502.3,8/04/2022,3.565,32.05,57.2
141.9860648,-36.82061316,504.92,8/04/2022,3.275,31.65,60.5
141.9860658,-36.82059649,504.92,8/04/2022,3.35,34.05,60.38
141.9860758,-36.82177448,502.62,8/04/2022,3.045,36.33,63.6
141.9860777,-36.8204508,505.25,8/04/2022,3.6,32.83,59.63
141.9860855,-36.82183646,502.3,8/04/2022,3.535,33.2,57.35
141.9860859,-36.82162907,502.62,8/04/2022,3.36,32.88,63.2
141.9860933,-36.82178436,502.62,8/04/2022,3.09,36.08,63.35
141.9860966,-36.82044339,505.25,8/04/2022,3.555,32.38,59.55
141.9861081,-36.82183965,502.3,8/04/2022,3.48,33.05,57.3
141.9861113,-36.8217938,502.62,8/04/2022,3.13,35.88,63.3
141.9861122,-36.8216309,502.62,8/04/2022,3.21,32.45,63.43
141.9861164,-36.82043733,505.25,8/04/2022,3.625,31.85,59.58
141.9861297,-36.82180258,502.95,8/04/2022,3.135,35.5,63.43
141.9861323,-36.82183939,502.3,8/04/2022,3.41,33.45,57.13
141.9861332,-36.81999885,506.23,8/04/2022,3.57,32.65,59.23
141.9861372,-36.82043198,505.25,8/04/2022,3.605,31.48,59.6
141.9861376,-36.82001694,506.23,8/04/2022,3.585,32.9,59.1
141.9861385,-36.82163009,502.62,8/04/2022,3.055,33.35,63.45
141.9861405,-36.81998298,506.23,8/04/2022,3.625,33.08,59.38
141.9861432,-36.82003476,506.23,8/04/2022,3.565,31.8,58.88
141.9861454,-36.8200517,506.23,8/04/2022,3.67,33.17,58.8
141.986146,-36.82006857,506.23,8/04/2022,3.71,32.15,58.83
141.9861474,-36.81996697,506.56,8/04/2022,3.695,32.75,59.53
141.9861483,-36.82181071,502.95,8/04/2022,3.11,34.5,63.35
141.9861498,-36.82008569,506.23,8/04/2022,3.62,31.43,59.3
141.9861538,-36.82184109,502.3,8/04/2022,3.39,33.38,56.9
141.9861563,-36.81995144,506.56,8/04/2022,3.695,32.23,59.68
141.9861606,-36.82042851,505.25,8/04/2022,3.535,32.17,59.9
141.9861618,-36.8201024,506.23,8/04/2022,3.49,30.38,59.93
141.9861622,-36.81993513,506.56,8/04/2022,3.735,31.63,59.68
141.9861645,-36.82162674,502.62,8/04/2022,2.96,32.67,63.43
141.986165,-36.82182691,502.95,8/04/2022,3.09,34.45,63.38
141.9861703,-36.81991909,506.56,8/04/2022,3.665,32.83,59.95
141.9861755,-36.81990266,506.56,8/04/2022,3.605,31.27,60.28
141.9861778,-36.81988586,506.56,8/04/2022,3.62,31.18,60.5
141.9861786,-36.82183548,502.3,8/04/2022,3.41,33.83,57.08
141.9861826,-36.8198693,506.56,8/04/2022,3.51,32.17,60.55
141.9861834,-36.82042342,505.25,8/04/2022,3.55,32.92,59.9
141.9861842,-36.82184109,502.95,8/04/2022,3.17,35.15,63.38
141.9861848,-36.8198526,506.56,8/04/2022,3.575,32.1,60.58
141.9861872,-36.8198357,506.56,8/04/2022,3.47,33.2,60.7
141.986188,-36.82011637,505.91,8/04/2022,3.335,24.93,60.15
141.9861895,-36.819819,506.56,8/04/2022,3.34,32.77,60.63
141.9861914,-36.82161659,502.62,8/04/2022,2.915,34.02,63.43
141.9861919,-36.81978516,506.89,8/04/2022,3.075,34.38,61.05
141.9861921,-36.8198022,506.89,8/04/2022,3.24,33.13,60.7
141.9861944,-36.81976846,506.89,8/04/2022,3.205,32.4,61.1
141.986197,-36.81975166,506.89,8/04/2022,3.335,32.55,61.25
141.9861997,-36.81973486,506.89,8/04/2022,3.465,32.8,61.13
141.9862001,-36.82183391,502.3,8/04/2022,3.41,33.7,57.15
141.9862024,-36.81971816,506.89,8/04/2022,3.455,33.02,61.18
141.9862037,-36.82013005,505.91,8/04/2022,3.135,30.38,60.35
141.9862052,-36.81970146,506.89,8/04/2022,3.44,32.13,61.08
141.9862053,-36.82184931,502.95,8/04/2022,3.18,35.83,63.28
141.9862073,-36.82041785,505.25,8/04/2022,3.57,34,60.2
141.9862078,-36.81968466,506.89,8/04/2022,3.37,33.4,60.98
141.9862104,-36.81966796,506.89,8/04/2022,3.3,32.88,61.1
141.986213,-36.81965116,507.22,8/04/2022,3.295,32.48,61.15
141.9862141,-36.82161184,502.62,8/04/2022,2.94,34.67,63.18
141.9862154,-36.81963446,507.22,8/04/2022,3.34,32.73,61.3
141.9862204,-36.81960086,507.22,8/04/2022,3.32,33.7,61.48
141.9862205,-36.8196179,507.22,8/04/2022,3.365,32.4,61.4
141.9862206,-36.81982467,506.56,8/04/2022,3.37,32.5,64.73
141.9862208,-36.82183282,502.3,8/04/2022,3.425,33.4,56.95
141.9862228,-36.81958416,507.22,8/04/2022,3.355,32.38,61.43
141.9862245,-36.82014152,505.91,8/04/2022,3.045,33.1,60.28
141.9862254,-36.81956726,507.22,8/04/2022,3.415,32.1,61.35
141.9862262,-36.82184691,502.95,8/04/2022,3.15,36.58,63.25
141.9862279,-36.81955046,507.22,8/04/2022,3.285,35,61.33
141.9862294,-36.8215959,503.28,8/04/2022,3.305,31.05,60.5
141.9862299,-36.82041001,505.25,8/04/2022,3.5,33.05,60.5
141.9862306,-36.81953376,507.22,8/04/2022,3.24,34.33,61.33
141.9862315,-36.821579,503.28,8/04/2022,3.26,31.43,60.4
141.9862333,-36.81951706,507.22,8/04/2022,3.19,33.27,61.58
141.9862357,-36.8215453,503.28,8/04/2022,3.14,32.25,60.03
141.986236,-36.81950026,507.22,8/04/2022,3.255,32.75,61.5
141.9862362,-36.8215623,503.28,8/04/2022,3.14,33.83,60.18
141.9862364,-36.82160492,502.62,8/04/2022,2.96,32.33,63.2
141.986238,-36.8215285,503.28,8/04/2022,3.1,32.2,59.85
141.9862386,-36.81948356,507.22,8/04/2022,3.335,32.38,61.63
141.9862387,-36.81981102,506.56,8/04/2022,3.36,34.65,64.83
141.9862404,-36.82149476,503.28,8/04/2022,3.075,32.6,59.9
141.9862404,-36.8215117,503.28,8/04/2022,3.07,32.45,59.88
141.9862411,-36.81946676,507.55,8/04/2022,3.355,32.5,61.68
141.9862417,-36.82183094,502.3,8/04/2022,3.47,33.33,56.7
141.9862429,-36.82147796,503.28,8/04/2022,3.055,33.27,59.93
141.9862438,-36.81944996,507.55,8/04/2022,3.295,32.73,61.7
141.9862455,-36.82146116,503.28,8/04/2022,3.12,31.57,60.08
141.9862464,-36.81943316,507.55,8/04/2022,3.26,31.8,61.68
141.9862472,-36.8218451,502.95,8/04/2022,3.165,38.08,63.13
141.9862481,-36.82144426,503.28,8/04/2022,3.15,32.67,60.1
141.9862489,-36.81941646,507.55,8/04/2022,3.32,31.98,61.78
141.9862507,-36.82142746,503.61,8/04/2022,3.145,33.48,60.13
141.9862513,-36.81979652,506.56,8/04/2022,3.45,33.9,64.63
141.9862515,-36.81939966,507.55,8/04/2022,3.28,32.45,61.78
141.9862532,-36.82141066,503.61,8/04/2022,3.14,32.77,60.18
141.986254,-36.81938286,507.55,8/04/2022,3.245,32.17,61.73
141.986255,-36.82014702,505.91,8/04/2022,3.07,32.92,60.4
141.9862558,-36.82040206,505.25,8/04/2022,3.425,32.88,60.48
141.9862559,-36.82139396,503.28,8/04/2022,3.055,33.15,60.2
141.9862565,-36.81936606,507.55,8/04/2022,3.225,33.17,61.7
141.9862577,-36.82160302,502.62,8/04/2022,3,32.63,63.13
141.9862585,-36.82137716,503.28,8/04/2022,3.08,34.02,60.05
141.9862591,-36.81934936,507.55,8/04/2022,3.2,32.42,61.68
141.986261,-36.82183414,502.3,8/04/2022,3.53,31.48,56.73
141.9862611,-36.82136036,503.28,8/04/2022,2.97,33.65,60.23
141.9862617,-36.81933256,507.55,8/04/2022,3.23,33.5,61.8
141.9862638,-36.82134356,503.61,8/04/2022,2.975,33.77,60.38
141.9862643,-36.81931576,507.87,8/04/2022,3.23,31.95,61.8
141.9862662,-36.82132676,503.61,8/04/2022,2.985,33.08,60.58
141.9862669,-36.81929896,507.87,8/04/2022,3.2,33.73,61.68
141.9862682,-36.82184179,502.95,8/04/2022,3.195,37.33,63.05
141.9862688,-36.82131006,503.61,8/04/2022,3.035,31.45,60.8
141.9862695,-36.81928216,507.87,8/04/2022,3.21,32.02,61.7
141.9862713,-36.82129326,503.61,8/04/2022,3.13,32.85,60.88
141.9862721,-36.81926546,507.87,8/04/2022,3.23,32.38,61.55
141.9862724,-36.81978525,506.56,8/04/2022,3.51,33.88,64.28
141.9862739,-36.82127656,503.61,8/04/2022,3.18,32.17,61.25
141.9862747,-36.81924876,507.87,8/04/2022,3.26,33.2,61.55
141.986276,-36.81955122,507.22,8/04/2022,3.13,33.75,66.35
141.9862764,-36.82125976,503.61,8/04/2022,3.305,31.13,61.48
141.9862772,-36.81923196,507.87,8/04/2022,3.27,33.15,61.5
141.9862773,-36.82039058,505.25,8/04/2022,3.455,33.75,60.43
141.9862786,-36.82160422,502.95,8/04/2022,3.17,32.58,63.18
141.986279,-36.82124296,503.61,8/04/2022,3.285,31.68,61.63
141.9862798,-36.81921526,507.87,8/04/2022,3.23,32.08,61.55
141.9862809,-36.82183507,502.3,8/04/2022,3.415,32.73,56.83
141.9862816,-36.82122626,503.61,8/04/2022,3.17,31.68,61.7
141.9862821,-36.82015104,505.91,8/04/2022,3.075,32.67,60.63
141.9862824,-36.81919846,507.87,8/04/2022,3.225,34.4,61.6
141.9862842,-36.82120946,503.61,8/04/2022,3.175,31.02,62.08
141.9862851,-36.81918166,507.87,8/04/2022,3.155,32.42,61.7
141.9862867,-36.82119256,503.94,8/04/2022,3.275,29.53,62.3
141.9862875,-36.81977247,506.56,8/04/2022,3.55,33.3,63.98
141.9862877,-36.81916496,508.2,8/04/2022,3.18,32.88,61.43
141.9862893,-36.82117586,503.94,8/04/2022,3.245,30.23,62.33
141.9862895,-36.82183898,502.95,8/04/2022,3.225,36.83,62.95
141.9862903,-36.81914816,508.2,8/04/2022,3.215,33.77,61.4
141.9862919,-36.82115906,503.94,8/04/2022,3.185,30.3,62.48
141.986292,-36.81963208,506.56,8/04/2022,3.095,32.02,59.33
141.9862925,-36.81961218,506.56,8/04/2022,3.125,31.85,59.45
141.9862928,-36.81913136,508.2,8/04/2022,3.21,32.9,61.3
141.9862946,-36.82114226,503.94,8/04/2022,3.2,30,62.75
141.9862953,-36.81911466,508.2,8/04/2022,3.205,32.85,61.38
141.986297,-36.82112556,503.94,8/04/2022,3.1,29.57,62.98
141.9862973,-36.81975757,506.56,8/04/2022,3.535,33.63,63.75
141.9862977,-36.81909786,508.2,8/04/2022,3.22,34.48,61.15
141.9862982,-36.81959143,506.56,8/04/2022,3.105,32.35,59.58
141.9862991,-36.82160962,502.62,8/04/2022,3.28,31.45,63.28
141.9862996,-36.82110876,503.94,8/04/2022,3.07,27.7,63.1
141.9863003,-36.81908106,508.2,8/04/2022,3.225,32.8,61.45
141.9863004,-36.82183787,502.3,8/04/2022,3.395,34.02,56.8
141.986301,-36.81956266,506.89,8/04/2022,3.16,32.7,66.55
141.986302,-36.82109196,503.94,8/04/2022,3.085,28.5,63.43
141.9863029,-36.81906436,508.2,8/04/2022,3.225,33.02,61.6
141.9863043,-36.81957222,506.56,8/04/2022,3.1,33.23,59.53
141.9863044,-36.8203779,505.25,8/04/2022,3.32,33.15,60.48
141.9863046,-36.82107516,503.94,8/04/2022,3.16,28.15,63.28
141.9863047,-36.82015646,505.91,8/04/2022,3.055,32.88,60.83
141.9863055,-36.81904756,508.2,8/04/2022,3.2,34.55,61.5
141.986307,-36.82105836,503.94,8/04/2022,3.14,28.05,63.5
141.9863081,-36.81903086,508.2,8/04/2022,3.235,34.83,61.58
141.9863093,-36.81974378,506.56,8/04/2022,3.645,33.08,63.65
141.9863096,-36.82104156,504.27,8/04/2022,3.215,27.95,63.8
141.9863104,-36.81968627,506.56,8/04/2022,2.99,32.8,59.35
141.9863106,-36.82183847,502.95,8/04/2022,3.215,34.6,62.93
141.9863107,-36.81901406,508.53,8/04/2022,3.265,31.63,61.7
141.9863121,-36.82102476,504.27,8/04/2022,3.13,29.73,63.75
141.9863133,-36.81899736,508.53,8/04/2022,3.26,32.77,61.5
141.9863149,-36.82100806,504.27,8/04/2022,3.13,29.18,63.65
141.9863156,-36.81955302,506.89,8/04/2022,3.095,33.3,59.55
141.986316,-36.81898066,508.53,8/04/2022,3.255,33.23,61.45
141.9863173,-36.82036184,505.58,8/04/2022,3.25,34.25,60.6
141.9863187,-36.81896386,508.53,8/04/2022,3.275,32.4,61.43
141.9863195,-36.8209915,504.27,8/04/2022,3.27,29.6,63.63
141.9863196,-36.81972888,506.56,8/04/2022,3.665,32.15,63.58
141.9863197,-36.81970392,506.56,8/04/2022,3.01,33.08,59.13
141.9863198,-36.82161322,502.62,8/04/2022,3.1,31.88,63.35
141.9863199,-36.82184077,502.3,8/04/2022,3.37,32.55,56.68
141.9863213,-36.81894706,508.53,8/04/2022,3.295,32.65,61.43
141.9863216,-36.82016661,505.91,8/04/2022,3.065,32.13,60.9
141.9863216,-36.8209747,504.27,8/04/2022,3.295,29.68,63.65
141.9863238,-36.81893036,508.53,8/04/2022,3.305,31.75,61.38
141.9863242,-36.81953553,506.89,8/04/2022,3.125,33.58,59.63
141.9863257,-36.8209409,504.59,8/04/2022,3.295,30.1,63.85
141.9863263,-36.81891356,508.86,8/04/2022,3.315,32.5,61.15
141.9863263,-36.820958,504.27,8/04/2022,3.35,30.58,63.63
141.986328,-36.8209242,504.59,8/04/2022,3.33,30.73,63.95
141.9863284,-36.82034487,505.58,8/04/2022,3.33,35.08,60.6
141.9863289,-36.81889676,508.86,8/04/2022,3.28,32.6,61.15
141.9863304,-36.82089036,504.59,8/04/2022,3.2,31.45,63.63
141.9863305,-36.8209074,504.59,8/04/2022,3.325,30.98,63.88
141.9863307,-36.8197208,506.56,8/04/2022,3.03,32.48,59.15
141.9863314,-36.81888006,508.86,8/04/2022,3.265,33.25,61.33
141.9863318,-36.82183848,502.95,8/04/2022,3.18,36.83,62.95
141.9863322,-36.81971522,506.56,8/04/2022,3.57,31.48,63.7
141.9863329,-36.81957721,506.89,8/04/2022,3.235,32.17,66.6
141.986333,-36.82087356,504.59,8/04/2022,3.095,32.27,63.35
141.9863335,-36.82018079,505.91,8/04/2022,3.015,33.35,60.85
141.986334,-36.81886326,508.86,8/04/2022,3.295,33.45,61.35
141.9863356,-36.82085676,504.59,8/04/2022,3.135,33.33,63.25
141.9863365,-36.81884646,508.86,8/04/2022,3.225,31.4,61.53
141.9863375,-36.82032728,505.58,8/04/2022,3.265,32.92,60.63
141.9863382,-36.82083996,504.59,8/04/2022,3.115,32.3,63.33
141.9863391,-36.81882976,508.86,8/04/2022,3.245,31.05,61.48
141.9863398,-36.82184139,502.3,8/04/2022,3.36,33.23,56.63
141.9863404,-36.82161721,502.95,8/04/2022,2.855,33.83,63.28
141.9863406,-36.8195187,506.89,8/04/2022,3.15,34.05,59.78
141.986341,-36.82080619,504.59,8/04/2022,3.03,32.58,63.38
141.986341,-36.82082326,504.59,8/04/2022,3.065,32.33,63.23
141.9863413,-36.82019794,505.91,8/04/2022,3.085,33.3,60.88
141.9863416,-36.81881296,508.86,8/04/2022,3.32,32.4,61.3
141.9863425,-36.81970052,506.56,8/04/2022,3.6,32.08,63.73
141.9863437,-36.81973676,506.56,8/04/2022,3.085,32.1,59.15
141.9863442,-36.81879616,508.86,8/04/2022,3.34,32.7,61.33
141.9863462,-36.82078966,504.92,8/04/2022,2.98,31.95,63.28
141.9863467,-36.81877946,509.19,8/04/2022,3.36,31.95,61.45
141.986347,-36.82030855,505.58,8/04/2022,3.2,34.08,60.8
141.9863477,-36.82021556,505.91,8/04/2022,3.1,33.75,60.7
141.9863488,-36.82077286,504.92,8/04/2022,2.915,32.73,63.1
141.9863493,-36.81876276,509.19,8/04/2022,3.335,31.63,61.5
141.9863503,-36.82023458,505.91,8/04/2022,3.135,33.13,60.6
141.9863513,-36.81959576,506.89,8/04/2022,3.31,30.65,66.45
141.9863514,-36.82075606,504.92,8/04/2022,3,34.23,63.15
141.9863518,-36.82028988,505.58,8/04/2022,3.08,34.83,60.78
141.986352,-36.81874596,509.19,8/04/2022,3.29,32.02,61.48
141.9863523,-36.82027172,505.58,8/04/2022,3.02,33.13,60.73
141.986353,-36.81968582,506.89,8/04/2022,3.63,32.17,63.8
141.986353,-36.82183848,502.95,8/04/2022,3.245,31.23,62.28
141.9863533,-36.82025262,505.91,8/04/2022,3.095,32.75,60.75
141.986354,-36.82073936,504.92,8/04/2022,3.025,33.42,63.05
141.9863547,-36.81872916,509.19,8/04/2022,3.29,31.7,61.5
141.9863565,-36.82072246,504.92,8/04/2022,3.02,33.6,62.98
141.9863573,-36.81871236,509.19,8/04/2022,3.24,31.73,61.4
141.9863574,-36.8197539,506.56,8/04/2022,3.11,32.45,58.98
141.9863576,-36.81961442,506.89,8/04/2022,3.315,30,65.98
141.986359,-36.82070576,504.92,8/04/2022,3.02,34.05,62.98
141.9863591,-36.81966917,506.89,8/04/2022,3.555,31.98,64.08
141.9863597,-36.82184191,502.3,8/04/2022,3.415,32.98,56.65
141.9863599,-36.81869566,509.19,8/04/2022,3.225,33.15,61.5
141.9863608,-36.82162139,502.95,8/04/2022,2.82,32.92,63.35
141.9863615,-36.81950396,506.89,8/04/2022,3.17,33.92,59.68
141.9863615,-36.82068886,504.92,8/04/2022,3.015,33.08,63.03
141.986362,-36.81963326,506.89,8/04/2022,3.465,31,65
141.9863624,-36.81867886,509.19,8/04/2022,3.205,33.75,61.48
141.9863625,-36.81965175,506.89,8/04/2022,3.595,32.05,64.63
141.9863639,-36.82067206,505.25,8/04/2022,3.14,31.4,63.4
141.9863649,-36.81866216,509.19,8/04/2022,3.26,32.2,61.4
141.9863664,-36.82065526,505.25,8/04/2022,3.22,31.4,63.6
141.9863675,-36.81864536,509.19,8/04/2022,3.42,30.9,61.4
141.986369,-36.82063846,505.25,8/04/2022,3.25,31.35,63.95
